comment_id,comment_text,account_age_days,posting_frequency_per_min,similarity_to_trending,engagement_rate,is_it_cell
C0543,AMAZING OFFER! GET FREE CRYPTO NOW! CLICK LINK BELOW!!!,1,14.15,0.795,46.38,1
C0544,The customer service was really helpful and sorted my issue in 5 minutes.,886,0.82,0.078,12.6,0
C0545,This person is a traitor! Stop spreading lies about our great country!,112,18.19,0.881,46.65,1
C0546,CLICK HERE TO EARN $500 DAILY WORKING FROM HOME! 100% REAL LINK IN BIO!!! #MUSTWATCH,4,15.92,0.711,38.12,1
C0547,"This recipe looks delicious, definitely trying it out this Sunday!",902,0.8,0.015,15.35,0
C0548,That match last night was insane! What a finish in the last minute. ...,1070,0.05,0.056,10.02,0
C0549,The customer service was really helpful and sorted my issue in 5 minutes.,728,0.28,0.07,20.36,0
C0550,CLICK HERE TO EARN $500 DAILY WORKING FROM HOME! 100% REAL LINK IN BIO!!!,20,11.57,0.803,33.62,1
C0551,"This recipe looks delicious, definitely trying it out this Sunday!",295,0.32,0.112,10.41,0
C0552,This is the best government in history. Clean sweep in next elections! #PropagandaCampaign #ALERT,30,13.57,0.97,38.4,1
C0553,This is completely fake! Stop spreading negative rumors immediately!,31,10.52,0.99,26.7,1
C0554,This channel is biased and spreading fake propaganda. Ban them!,10,14.55,0.772,40.09,1
C0555,"Wow, that sunset is gorgeous! Thanks for sharing the photo. 👍",65,0.6,0.212,6.55,0
C0556,Follow my account for free premium tips and tricks. Guaranteed success!,96,11.38,0.607,29.2,1
C0557,"I'm not sure if this is correct, but let's see how it goes.",1609,0.5,0.131,10.21,0
C0558,SUPPORT THIS LEADER FOR BETTER FUTURE! DO NOT TRUST THE OPPOSITION!! #Victory2026,50,20.75,0.573,52.68,1
C0559,Boycott this movie! It hurts community sentiments! #BoycottTrending #JOINNOW,6,11.67,0.629,33.08,1
C0560,The customer service was really helpful and sorted my issue in 5 minutes. 😊,628,0.68,0.0,14.31,0
C0561,This person is a traitor! Stop spreading lies about our great country! #JOINNOW,18,9.13,0.819,27.41,1
C0562,Follow my account for free premium tips and tricks. Guaranteed success!,7,12.17,0.851,35.13,1
C0563,Earn passive income easily. Sign up using code BOT999. Real cash!,43,11.66,0.651,29.12,1
C0564,"I don't agree with your opinion, but I appreciate the respectful debate here.",1132,0.92,0.268,13.16,0
C0565,Boycott this movie! It hurts community sentiments! #BoycottTrending #ALERT,45,7.19,0.762,20.72,1
C0566,"Haha that is so funny, thanks for making my day! !!",299,0.68,0.238,9.74,0
C0567,"I'm not sure if this is correct, but let's see how it goes. ...",611,0.58,0.106,11.67,0
C0568,What a great performance by the team. Very happy with the result.,1639,0.43,0.114,8.76,0
C0569,That match last night was insane! What a finish in the last minute.,1097,0.45,0.085,18.61,0
C0570,This channel is biased and spreading fake propaganda. Ban them! #ALERT,15,12.99,0.818,37.03,1
C0571,Earn passive income easily. Sign up using code BOT999. Real cash!,14,14.35,0.718,42.55,1
C0572,Just finished reading this book. Highly recommend it to everyone. haha,30,0.77,0.029,15.65,0
C0573,Just finished reading this book. Highly recommend it to everyone.,805,0.21,0.109,15.43,0
C0574,Struggling with coding errors all day... need a break lol.,842,0.68,0.348,4.18,0
C0575,Can someone explain how to solve the 3rd question in the ML assignment?,1446,0.53,0.06,5.35,0
C0576,Earn passive income easily. Sign up using code BOT999. Real cash! #MUSTWATCH,68,17.64,0.751,44.62,1
C0577,"Honestly, I think the movie was slightly overrated, but the acting was top tier.",30,0.62,0.017,9.25,0
C0578,Unbelievable development! Best leader of all time! Truly visionary leadership!,58,7.9,0.5,22.45,1
C0579,THE TRUTH HAS BEEN EXPOSED! WATCH THIS VIDEO BEFORE IT GETS DELETED!!! #ALERT,50,10.09,0.915,30.84,1
C0580,Unbelievable development! Best leader of all time! Truly visionary leadership! #ALERT,32,14.96,0.587,41.76,1
C0581,"I'm not sure if this is correct, but let's see how it goes. ...",598,0.48,0.185,9.56,0
C0582,Boycott this movie! It hurts community sentiments! #BoycottTrending,1,14.76,0.5,39.66,1
C0583,Can someone explain how to solve the 3rd question in the ML assignment?,390,0.19,0.075,18.09,0
C0584,Boycott this movie! It hurts community sentiments! #BoycottTrending,57,15.28,0.593,38.32,1
C0585,"I don't agree with your opinion, but I appreciate the respectful debate here. haha",1277,0.21,0.104,14.31,0
C0586,This person is a traitor! Stop spreading lies about our great country!,14,17.84,0.594,47.1,1
C0587,Follow my account for free premium tips and tricks. Guaranteed success!,24,12.91,0.7,37.64,1
C0588,CLICK HERE TO EARN $500 DAILY WORKING FROM HOME! 100% REAL LINK IN BIO!!!,46,14.27,0.813,33.61,1
C0589,Boycott this movie! It hurts community sentiments! #BoycottTrending,38,15.17,0.754,41.78,1
C0590,I absolutely love this new update! The UI looks clean and crisp.,1598,1.43,0.211,11.08,0
C0591,Earn passive income easily. Sign up using code BOT999. Real cash! #MUSTWATCH,53,16.33,0.919,45.62,1
C0592,What a great performance by the team. Very happy with the result.,770,0.83,0.242,9.89,0
C0593,CLICK HERE TO EARN $500 DAILY WORKING FROM HOME! 100% REAL LINK IN BIO!!! #ALERT,50,14.71,0.733,35.97,1
C0594,Boycott this movie! It hurts community sentiments! #BoycottTrending #ALERT,13,16.23,0.913,46.83,1
C0595,"Honestly, I think the movie was slightly overrated, but the acting was top tier. !!",835,0.05,0.143,14.27,0
C0596,CLICK HERE TO EARN $500 DAILY WORKING FROM HOME! 100% REAL LINK IN BIO!!!,40,9.86,0.765,27.44,1
C0597,SUPPORT THIS LEADER FOR BETTER FUTURE! DO NOT TRUST THE OPPOSITION!! #Victory2026,55,11.76,0.855,33.97,1
C0598,THE TRUTH HAS BEEN EXPOSED! WATCH THIS VIDEO BEFORE IT GETS DELETED!!! #JOINNOW,51,7.99,0.86,22.57,1
C0599,Don't listen to this fake news! The truth is hidden by mainstream media!,2,19.28,0.805,52.39,1
C0600,Does anyone know if the local train is running on schedule today?,907,0.57,0.289,7.02,0
C0601,This is completely fake! Stop spreading negative rumors immediately!,61,10.88,0.743,26.56,1
C0602,AMAZING OFFER! GET FREE CRYPTO NOW! CLICK LINK BELOW!!!,11,13.51,0.897,36.28,1
C0603,The customer service was really helpful and sorted my issue in 5 minutes.,1108,0.83,0.343,12.35,0
C0604,Follow my account for free premium tips and tricks. Guaranteed success!,11,9.44,0.676,23.99,1
C0605,Follow my account for free premium tips and tricks. Guaranteed success!,30,16.87,0.696,43.62,1
C0606,Earn passive income easily. Sign up using code BOT999. Real cash! #JOINNOW,46,11.39,0.736,26.05,1
C0607,Can someone explain how to solve the 3rd question in the ML assignment? ...,353,0.87,0.134,9.26,0
C0608,SUPPORT #LEADER2026 NOW! SHARE THIS MESSAGE TO 10 GROUPS NOW!!! #JOINNOW,87,17.55,0.938,40.97,1
C0609,SUPPORT #LEADER2026 NOW! SHARE THIS MESSAGE TO 10 GROUPS NOW!!!,17,14.08,0.75,40.13,1
C0610,Follow my account for free premium tips and tricks. Guaranteed success!,10,9.97,0.6,25.44,1
C0611,Can someone explain how to solve the 3rd question in the ML assignment? ...,830,0.95,0.089,8.79,0
C0612,"Worst brand ever! Total scam, do not buy their products! SCAMMER!! #JOINNOW",13,18.81,0.62,49.42,1
C0613,"I don't agree with your opinion, but I appreciate the respectful debate here. haha",766,0.07,0.058,6.98,0
C0614,Does anyone know if the local train is running on schedule today? haha,882,0.52,0.078,12.88,0
C0615,Follow my account for free premium tips and tricks. Guaranteed success! #JOINNOW,3,11.67,0.822,34.62,1
C0616,This is completely fake! Stop spreading negative rumors immediately!,30,8.75,0.644,27.86,1
C0617,Earn passive income easily. Sign up using code BOT999. Real cash!,1,16.76,0.922,42.13,1
C0618,Unbelievable development! Best leader of all time! Truly visionary leadership!,10,15.7,0.922,44.56,1
C0619,THE TRUTH HAS BEEN EXPOSED! WATCH THIS VIDEO BEFORE IT GETS DELETED!!!,88,11.14,0.833,33.44,1
C0620,The customer service was really helpful and sorted my issue in 5 minutes.,1089,0.24,0.32,12.22,0
C0621,"Wow, that sunset is gorgeous! Thanks for sharing the photo.",697,0.4,0.0,11.45,0
C0622,"Worst brand ever! Total scam, do not buy their products! SCAMMER!!",55,13.99,0.868,34.17,1
C0623,"Worst brand ever! Total scam, do not buy their products! SCAMMER!! #MUSTWATCH",114,8.54,0.783,21.6,1
C0624,The customer service was really helpful and sorted my issue in 5 minutes. 😊,875,0.05,0.106,20.39,0
C0625,I absolutely love this new update! The UI looks clean and crisp.,603,0.5,0.141,19.84,0
C0626,"Worst brand ever! Total scam, do not buy their products! SCAMMER!!",9,17.16,0.74,48.24,1
C0627,Does anyone know if the local train is running on schedule today?,917,0.43,0.072,8.55,0
C0628,Earn passive income easily. Sign up using code BOT999. Real cash! #JOINNOW,10,18.82,0.764,56.39,1
C0629,"Wow, that sunset is gorgeous! Thanks for sharing the photo.",1198,0.62,0.195,5.0,0
C0630,Struggling with coding errors all day... need a break lol.,882,0.93,0.218,12.77,0
C0631,Follow my account for free premium tips and tricks. Guaranteed success!,3,18.85,0.882,51.35,1
C0632,"This recipe looks delicious, definitely trying it out this Sunday! haha",1229,1.21,0.071,5.09,0
C0633,Unbelievable development! Best leader of all time! Truly visionary leadership! #JOINNOW,68,16.43,0.877,49.1,1
C0634,THE TRUTH HAS BEEN EXPOSED! WATCH THIS VIDEO BEFORE IT GETS DELETED!!!,9,9.0,0.727,32.21,1
C0635,That match last night was insane! What a finish in the last minute.,1597,0.27,0.095,16.3,0
C0636,That match last night was insane! What a finish in the last minute. 👍,645,0.49,0.153,2.4,0
C0637,AMAZING OFFER! GET FREE CRYPTO NOW! CLICK LINK BELOW!!!,2,15.17,0.798,43.58,1
C0638,Don't listen to this fake news! The truth is hidden by mainstream media!,16,10.5,0.649,32.89,1
C0639,This channel is biased and spreading fake propaganda. Ban them! #ALERT,6,14.17,0.675,40.53,1
C0640,That match last night was insane! What a finish in the last minute.,865,0.29,0.183,6.96,0
C0641,"I don't agree with your opinion, but I appreciate the respectful debate here. haha",353,0.53,0.0,1.28,0
C0642,CLICK HERE TO EARN $500 DAILY WORKING FROM HOME! 100% REAL LINK IN BIO!!!,14,14.13,0.858,41.27,1
C0643,This channel is biased and spreading fake propaganda. Ban them!,12,7.42,0.636,25.07,1
C0644,"Worst brand ever! Total scam, do not buy their products! SCAMMER!!",63,12.04,0.772,29.4,1
C0645,Beautiful weather today. Going out for a cup of coffee.,870,1.4,0.187,10.43,0
C0646,Just finished reading this book. Highly recommend it to everyone.,1168,0.64,0.192,15.03,0
C0647,Does anyone know if the local train is running on schedule today?,1622,0.16,0.197,7.37,0
C0648,This is the best government in history. Clean sweep in next elections! #PropagandaCampaign #MUSTWATCH,6,7.85,0.889,24.66,1
C0649,Struggling with coding errors all day... need a break lol. 👍,1497,0.42,0.192,8.1,0
C0650,Unbelievable development! Best leader of all time! Truly visionary leadership! #ALERT,8,10.85,1.0,33.02,1
C0651,Unbelievable development! Best leader of all time! Truly visionary leadership!,9,11.42,0.729,30.89,1
C0652,AMAZING OFFER! GET FREE CRYPTO NOW! CLICK LINK BELOW!!!,97,9.21,0.923,29.44,1
C0653,"Haha that is so funny, thanks for making my day! !!",165,0.05,0.337,13.95,0
C0654,Struggling with coding errors all day... need a break lol. 😊,452,0.66,0.0,12.02,0
C0655,Does anyone know if the local train is running on schedule today? 👍,931,0.78,0.049,12.43,0
C0656,What a great performance by the team. Very happy with the result.,429,0.58,0.06,9.96,0
C0657,"Worst brand ever! Total scam, do not buy their products! SCAMMER!! #ALERT",36,10.11,0.646,28.08,1
C0658,I absolutely love this new update! The UI looks clean and crisp.,870,0.05,0.176,11.77,0
C0659,"Haha that is so funny, thanks for making my day! haha",494,1.11,0.246,6.52,0
C0660,Unbelievable development! Best leader of all time! Truly visionary leadership!,1,15.35,0.834,48.6,1
C0661,This channel is biased and spreading fake propaganda. Ban them! #JOINNOW,55,13.45,0.841,29.62,1
C0662,Don't listen to this fake news! The truth is hidden by mainstream media!,48,11.25,0.642,30.12,1
C0663,"I don't agree with your opinion, but I appreciate the respectful debate here.",479,0.48,0.274,9.71,0
C0664,Unbelievable development! Best leader of all time! Truly visionary leadership!,70,10.9,0.913,30.24,1
C0665,I absolutely love this new update! The UI looks clean and crisp. haha,817,0.56,0.094,11.03,0
C0666,Can someone explain how to solve the 3rd question in the ML assignment?,534,0.41,0.285,6.61,0
C0667,Earn passive income easily. Sign up using code BOT999. Real cash!,13,9.25,0.725,26.92,1
C0668,This is the best government in history. Clean sweep in next elections! #PropagandaCampaign,14,19.05,0.766,55.79,1
C0669,Can someone explain how to solve the 3rd question in the ML assignment? ...,1187,0.44,0.361,13.34,0
C0670,This channel is biased and spreading fake propaganda. Ban them!,3,18.05,0.855,54.34,1
C0671,This person is a traitor! Stop spreading lies about our great country!,46,15.0,0.875,36.77,1
C0672,AMAZING OFFER! GET FREE CRYPTO NOW! CLICK LINK BELOW!!!,34,12.23,0.968,35.97,1
C0673,That match last night was insane! What a finish in the last minute.,622,0.36,0.18,14.32,0
C0674,I absolutely love this new update! The UI looks clean and crisp.,878,0.59,0.32,17.36,0
C0675,Don't listen to this fake news! The truth is hidden by mainstream media!,66,19.46,0.933,50.07,1
C0676,This is completely fake! Stop spreading negative rumors immediately!,38,7.13,0.698,18.97,1
C0677,AMAZING OFFER! GET FREE CRYPTO NOW! CLICK LINK BELOW!!! #MUSTWATCH,12,8.97,0.718,29.38,1
C0678,"This recipe looks delicious, definitely trying it out this Sunday!",737,0.09,0.153,13.11,0
C0679,This person is a traitor! Stop spreading lies about our great country! #ALERT,15,10.08,0.861,32.54,1
C0680,"I'm not sure if this is correct, but let's see how it goes.",536,0.76,0.041,16.45,0
C0681,Struggling with coding errors all day... need a break lol.,868,0.67,0.032,7.52,0
C0682,This is the best government in history. Clean sweep in next elections! #PropagandaCampaign #MUSTWATCH,7,7.95,0.884,19.95,1
C0683,What a great performance by the team. Very happy with the result.,1047,0.81,0.204,15.56,0
C0684,The customer service was really helpful and sorted my issue in 5 minutes.,1103,0.22,0.293,9.7,0
C0685,"I don't agree with your opinion, but I appreciate the respectful debate here. ...",773,0.4,0.199,9.31,0
C0686,Just finished reading this book. Highly recommend it to everyone.,826,0.13,0.266,15.35,0
C0687,This is the best government in history. Clean sweep in next elections! #PropagandaCampaign #ALERT,167,10.83,0.84,24.67,1
C0688,"This recipe looks delicious, definitely trying it out this Sunday!",987,0.05,0.226,15.06,0
C0689,Boycott this movie! It hurts community sentiments! #BoycottTrending,59,11.61,0.74,34.72,1
C0690,Unbelievable development! Best leader of all time! Truly visionary leadership! #JOINNOW,26,9.61,0.93,23.79,1
C0691,Does anyone know if the local train is running on schedule today?,1048,0.9,0.189,17.45,0
C0692,"Wow, that sunset is gorgeous! Thanks for sharing the photo.",1604,0.81,0.175,17.23,0
C0693,I absolutely love this new update! The UI looks clean and crisp.,857,0.51,0.115,19.82,0
C0694,Struggling with coding errors all day... need a break lol. 😊,472,0.96,0.2,5.0,0
C0695,SUPPORT THIS LEADER FOR BETTER FUTURE! DO NOT TRUST THE OPPOSITION!! #Victory2026,80,11.17,0.867,24.51,1
C0696,"I'm not sure if this is correct, but let's see how it goes.",856,0.84,0.205,15.46,0
C0697,AMAZING OFFER! GET FREE CRYPTO NOW! CLICK LINK BELOW!!! #ALERT,2,18.39,1.0,49.36,1
C0698,Earn passive income easily. Sign up using code BOT999. Real cash! #ALERT,34,14.23,0.781,38.88,1
C0699,This is the best government in history. Clean sweep in next elections! #PropagandaCampaign #JOINNOW,36,6.89,0.921,24.45,1
C0700,Just finished reading this book. Highly recommend it to everyone. 😊,503,0.35,0.273,20.43,0
C0701,Struggling with coding errors all day... need a break lol.,1025,0.24,0.349,9.35,0
C0702,"Wow, that sunset is gorgeous! Thanks for sharing the photo. 😊",665,0.6,0.305,16.27,0
C0703,That match last night was insane! What a finish in the last minute.,965,0.64,0.154,14.79,0
C0704,Follow my account for free premium tips and tricks. Guaranteed success!,21,7.59,0.762,17.96,1
C0705,Beautiful weather today. Going out for a cup of coffee.,1015,0.55,0.227,3.3,0
C0706,That match last night was insane! What a finish in the last minute.,1245,0.26,0.135,16.66,0
C0707,I absolutely love this new update! The UI looks clean and crisp. ...,904,0.6,0.23,14.14,0
C0708,Beautiful weather today. Going out for a cup of coffee.,663,0.45,0.171,7.52,0
C0709,The customer service was really helpful and sorted my issue in 5 minutes.,1198,0.59,0.157,17.96,0
C0710,Beautiful weather today. Going out for a cup of coffee. ...,751,0.45,0.102,13.72,0
C0711,CLICK HERE TO EARN $500 DAILY WORKING FROM HOME! 100% REAL LINK IN BIO!!!,84,13.23,0.775,31.64,1
C0712,Can someone explain how to solve the 3rd question in the ML assignment?,729,0.05,0.101,10.58,0
C0713,CLICK HERE TO EARN $500 DAILY WORKING FROM HOME! 100% REAL LINK IN BIO!!! #JOINNOW,6,5.19,0.744,15.84,1
C0714,THE TRUTH HAS BEEN EXPOSED! WATCH THIS VIDEO BEFORE IT GETS DELETED!!!,11,16.21,0.742,43.92,1
C0715,CLICK HERE TO EARN $500 DAILY WORKING FROM HOME! 100% REAL LINK IN BIO!!!,9,17.48,0.663,47.11,1
C0716,Just finished reading this book. Highly recommend it to everyone.,932,0.76,0.112,2.41,0
C0717,Don't listen to this fake news! The truth is hidden by mainstream media!,25,11.4,0.757,33.15,1
C0718,Just finished reading this book. Highly recommend it to everyone.,873,1.31,0.185,6.98,0
C0719,SUPPORT THIS LEADER FOR BETTER FUTURE! DO NOT TRUST THE OPPOSITION!! #Victory2026 #JOINNOW,10,8.61,0.797,20.37,1
C0720,SUPPORT #LEADER2026 NOW! SHARE THIS MESSAGE TO 10 GROUPS NOW!!!,52,10.42,0.786,26.54,1
C0721,This person is a traitor! Stop spreading lies about our great country!,19,14.17,0.997,42.86,1
C0722,"Worst brand ever! Total scam, do not buy their products! SCAMMER!! #ALERT",60,14.73,0.847,33.04,1
C0723,What a great performance by the team. Very happy with the result.,688,0.75,0.145,4.97,0
C0724,"I'm not sure if this is correct, but let's see how it goes.",779,1.01,0.275,11.69,0
C0725,Struggling with coding errors all day... need a break lol.,1180,0.39,0.0,7.38,0
C0726,Follow my account for free premium tips and tricks. Guaranteed success!,19,10.03,0.841,29.91,1
C0727,CLICK HERE TO EARN $500 DAILY WORKING FROM HOME! 100% REAL LINK IN BIO!!!,26,6.98,1.0,20.67,1
C0728,Unbelievable development! Best leader of all time! Truly visionary leadership!,8,3.61,0.904,10.95,1
C0729,Earn passive income easily. Sign up using code BOT999. Real cash!,26,13.61,0.729,35.21,1
C0730,I absolutely love this new update! The UI looks clean and crisp.,556,0.34,0.095,16.17,0
C0731,What a great performance by the team. Very happy with the result.,358,0.57,0.272,9.43,0
C0732,"This recipe looks delicious, definitely trying it out this Sunday!",512,0.43,0.268,12.97,0
C0733,Don't listen to this fake news! The truth is hidden by mainstream media! #MUSTWATCH,48,14.08,0.683,35.75,1
C0734,"Haha that is so funny, thanks for making my day!",529,0.39,0.204,13.48,0
C0735,"Wow, that sunset is gorgeous! Thanks for sharing the photo. ...",950,0.91,0.219,11.29,0
C0736,"Wow, that sunset is gorgeous! Thanks for sharing the photo.",326,0.29,0.124,16.15,0
C0737,Does anyone know if the local train is running on schedule today? !!,789,0.3,0.077,11.65,0
C0738,SUPPORT #LEADER2026 NOW! SHARE THIS MESSAGE TO 10 GROUPS NOW!!!,19,15.56,0.727,44.32,1
C0739,Follow my account for free premium tips and tricks. Guaranteed success! #ALERT,21,19.76,0.632,56.86,1
C0740,AMAZING OFFER! GET FREE CRYPTO NOW! CLICK LINK BELOW!!!,6,10.54,0.817,24.66,1
C0741,Boycott this movie! It hurts community sentiments! #BoycottTrending,29,12.09,0.906,31.82,1
C0742,SUPPORT #LEADER2026 NOW! SHARE THIS MESSAGE TO 10 GROUPS NOW!!! #MUSTWATCH,2,12.01,0.55,40.1,1
C0743,AMAZING OFFER! GET FREE CRYPTO NOW! CLICK LINK BELOW!!!,55,5.79,0.764,17.47,1
C0744,"Wow, that sunset is gorgeous! Thanks for sharing the photo.",442,0.26,0.095,18.11,0
C0745,Follow my account for free premium tips and tricks. Guaranteed success! #JOINNOW,15,10.05,0.736,30.45,1
C0746,Don't listen to this fake news! The truth is hidden by mainstream media!,45,15.02,0.666,42.53,1
C0747,CLICK HERE TO EARN $500 DAILY WORKING FROM HOME! 100% REAL LINK IN BIO!!!,15,12.46,0.812,39.29,1
C0748,"This recipe looks delicious, definitely trying it out this Sunday!",512,0.72,0.131,11.68,0
C0749,Don't listen to this fake news! The truth is hidden by mainstream media! #ALERT,98,14.02,0.824,37.24,1
C0750,Boycott this movie! It hurts community sentiments! #BoycottTrending,35,6.15,0.904,17.26,1
C0751,"Worst brand ever! Total scam, do not buy their products! SCAMMER!!",89,13.33,0.864,30.99,1
C0752,"Worst brand ever! Total scam, do not buy their products! SCAMMER!! #JOINNOW",100,8.08,0.905,24.62,1
C0753,Struggling with coding errors all day... need a break lol.,558,0.43,0.0,10.04,0
C0754,What a great performance by the team. Very happy with the result.,1198,0.36,0.214,11.05,0
C0755,Does anyone know if the local train is running on schedule today?,929,0.16,0.159,1.0,0
C0756,"Honestly, I think the movie was slightly overrated, but the acting was top tier. 😊",725,0.05,0.271,15.89,0
C0757,Struggling with coding errors all day... need a break lol.,986,0.96,0.055,20.74,0
C0758,The customer service was really helpful and sorted my issue in 5 minutes.,1172,0.43,0.264,6.47,0
C0759,Unbelievable development! Best leader of all time! Truly visionary leadership!,10,9.99,0.741,26.97,1
C0760,Struggling with coding errors all day... need a break lol.,46,0.57,0.321,11.69,0
C0761,I absolutely love this new update! The UI looks clean and crisp.,59,0.73,0.0,5.95,0
C0762,Follow my account for free premium tips and tricks. Guaranteed success! #MUSTWATCH,4,11.05,0.909,32.74,1
C0763,SUPPORT #LEADER2026 NOW! SHARE THIS MESSAGE TO 10 GROUPS NOW!!! #MUSTWATCH,13,15.41,0.95,48.6,1
C0764,"Haha that is so funny, thanks for making my day!",1123,0.43,0.236,14.33,0
C0765,Beautiful weather today. Going out for a cup of coffee.,1002,0.55,0.059,6.86,0
C0766,Earn passive income easily. Sign up using code BOT999. Real cash!,119,11.61,0.982,29.88,1
C0767,This is the best government in history. Clean sweep in next elections! #PropagandaCampaign,1,13.69,1.0,33.94,1
C0768,Boycott this movie! It hurts community sentiments! #BoycottTrending,84,14.33,0.571,34.04,1
C0769,That match last night was insane! What a finish in the last minute.,634,1.07,0.206,5.32,0
C0770,Just finished reading this book. Highly recommend it to everyone. 😊,994,0.05,0.258,9.64,0
C0771,Does anyone know if the local train is running on schedule today?,762,0.9,0.021,5.01,0
C0772,SUPPORT THIS LEADER FOR BETTER FUTURE! DO NOT TRUST THE OPPOSITION!! #Victory2026 #JOINNOW,50,7.69,0.724,21.52,1
C0773,"Honestly, I think the movie was slightly overrated, but the acting was top tier.",459,0.87,0.144,9.22,0
C0774,Unbelievable development! Best leader of all time! Truly visionary leadership! #JOINNOW,50,6.79,0.751,22.94,1
C0775,"Haha that is so funny, thanks for making my day!",52,0.38,0.169,14.25,0
C0776,Beautiful weather today. Going out for a cup of coffee.,596,0.51,0.0,8.71,0
C0777,Don't listen to this fake news! The truth is hidden by mainstream media!,6,12.64,0.806,41.47,1
C0778,Just finished reading this book. Highly recommend it to everyone. !!,999,0.46,0.079,13.33,0
C0779,Can someone explain how to solve the 3rd question in the ML assignment? haha,437,0.55,0.199,10.92,0
C0780,Beautiful weather today. Going out for a cup of coffee.,547,0.05,0.264,14.02,0
C0781,This channel is biased and spreading fake propaganda. Ban them!,29,13.71,0.635,35.7,1
C0782,The customer service was really helpful and sorted my issue in 5 minutes.,684,0.26,0.323,7.72,0
C0783,Unbelievable development! Best leader of all time! Truly visionary leadership! #ALERT,33,11.34,0.718,30.57,1
C0784,SUPPORT #LEADER2026 NOW! SHARE THIS MESSAGE TO 10 GROUPS NOW!!! #JOINNOW,53,10.6,0.789,27.26,1
C0785,Struggling with coding errors all day... need a break lol. haha,194,0.6,0.325,12.09,0
C0786,"Honestly, I think the movie was slightly overrated, but the acting was top tier.",890,0.71,0.023,20.51,0
C0787,"I don't agree with your opinion, but I appreciate the respectful debate here.",880,0.99,0.077,21.09,0
C0788,SUPPORT #LEADER2026 NOW! SHARE THIS MESSAGE TO 10 GROUPS NOW!!!,40,10.81,0.833,30.48,1
C0789,SUPPORT #LEADER2026 NOW! SHARE THIS MESSAGE TO 10 GROUPS NOW!!! #ALERT,56,17.02,0.564,41.4,1
C0790,"I don't agree with your opinion, but I appreciate the respectful debate here.",725,0.59,0.144,18.09,0
C0791,This person is a traitor! Stop spreading lies about our great country!,22,14.69,0.588,39.95,1
C0792,This is the best government in history. Clean sweep in next elections! #PropagandaCampaign #ALERT,10,11.66,0.789,34.91,1
C0793,"Wow, that sunset is gorgeous! Thanks for sharing the photo.",454,0.88,0.254,14.92,0
C0794,"Worst brand ever! Total scam, do not buy their products! SCAMMER!!",88,17.39,0.743,44.3,1
C0795,"Wow, that sunset is gorgeous! Thanks for sharing the photo.",665,0.88,0.259,14.22,0
C0796,This is the best government in history. Clean sweep in next elections! #PropagandaCampaign,8,7.39,0.854,17.47,1
C0797,Boycott this movie! It hurts community sentiments! #BoycottTrending,17,10.69,0.759,35.36,1
C0798,This is the best government in history. Clean sweep in next elections! #PropagandaCampaign,69,10.1,0.777,24.53,1
C0799,Does anyone know if the local train is running on schedule today?,1219,1.0,0.102,8.94,0
C0800,This is the best government in history. Clean sweep in next elections! #PropagandaCampaign,1,10.51,0.739,29.44,1
C0801,Follow my account for free premium tips and tricks. Guaranteed success!,2,11.58,0.571,37.8,1
C0802,Earn passive income easily. Sign up using code BOT999. Real cash!,1,11.27,0.804,31.09,1
C0803,This person is a traitor! Stop spreading lies about our great country!,2,16.02,0.592,49.43,1
C0804,"Wow, that sunset is gorgeous! Thanks for sharing the photo. 👍",816,0.63,0.245,6.89,0
C0805,Just finished reading this book. Highly recommend it to everyone.,989,0.42,0.235,1.36,0
C0806,That match last night was insane! What a finish in the last minute.,760,0.32,0.193,14.35,0
C0807,"Worst brand ever! Total scam, do not buy their products! SCAMMER!!",8,14.54,0.734,34.99,1
C0808,Don't listen to this fake news! The truth is hidden by mainstream media!,62,9.56,0.5,24.68,1
C0809,SUPPORT #LEADER2026 NOW! SHARE THIS MESSAGE TO 10 GROUPS NOW!!!,13,14.69,0.516,41.83,1
C0810,CLICK HERE TO EARN $500 DAILY WORKING FROM HOME! 100% REAL LINK IN BIO!!! #ALERT,50,7.26,0.727,22.02,1
C0811,"This recipe looks delicious, definitely trying it out this Sunday!",616,0.29,0.035,3.24,0
C0812,SUPPORT THIS LEADER FOR BETTER FUTURE! DO NOT TRUST THE OPPOSITION!! #Victory2026 #ALERT,35,18.27,0.697,50.5,1
C0813,SUPPORT #LEADER2026 NOW! SHARE THIS MESSAGE TO 10 GROUPS NOW!!! #ALERT,10,7.45,0.68,20.87,1
C0814,This person is a traitor! Stop spreading lies about our great country! #JOINNOW,16,15.05,0.662,43.37,1
C0815,That match last night was insane! What a finish in the last minute.,1189,0.39,0.268,14.41,0
C0816,"This recipe looks delicious, definitely trying it out this Sunday!",521,0.92,0.036,10.12,0
C0817,AMAZING OFFER! GET FREE CRYPTO NOW! CLICK LINK BELOW!!!,148,11.17,0.907,31.01,1
C0818,THE TRUTH HAS BEEN EXPOSED! WATCH THIS VIDEO BEFORE IT GETS DELETED!!! #ALERT,61,10.88,0.581,25.21,1
C0819,Don't listen to this fake news! The truth is hidden by mainstream media! #ALERT,17,19.07,0.886,46.18,1
C0820,This is the best government in history. Clean sweep in next elections! #PropagandaCampaign #MUSTWATCH,58,15.71,0.865,45.78,1
C0821,Just finished reading this book. Highly recommend it to everyone. 😊,918,0.7,0.078,14.93,0
